uuid,commodity_name,country,market,price_type,unit
40256e20-832f-402d-9a85-bee45b059eb0,Bread (French type),Argentina,Noreste,RETAIL,Kg
422d26cd-c607-40cf-8230-599097d41cac,Beef meat,Argentina,Cuyo,RETAIL,Kg
42345cb2-60bd-49cb-bef7-4244221c0377,Milk (fresh),Argentina,Cuyo,RETAIL,Liter
46c2e4e3-40cb-497f-89a6-f2596315b3f8,Rice (white),Argentina,Greater Buenos Aires,RETAIL,Kg
473f8c70-f1c4-4361-8b75-a43fbc3a0908,Sunflower oil,Argentina,Noroeste,RETAIL,1.5 Liter
49b827bd-ec67-4ca9-9ee0-fdcec4cd7d2d,Bread (French type),Argentina,Noroeste,RETAIL,Kg
4ababcfc-a105-4862-b956-0095c1066cee,Wheat (flour),Argentina,Noroeste,RETAIL,Kg
4cd0266e-1c4d-49ab-98d2-bd6c07402d34,Wheat (flour),Argentina,Patagonia,RETAIL,Kg
58b6d5d1-aac6-414e-a69d-fbd85e6cc253,Eggs,Argentina,Patagonia,RETAIL,Dozen
6364cf2e-564b-4d70-9407-bae3db384d1b,Sugar,Argentina,Cuyo,RETAIL,Kg
694b1f50-04a3-4c86-8037-070263bd5d46,Chicken (whole),Argentina,Noroeste,RETAIL,Kg
715e060b-6d15-4d3e-8747-d344f1cbdeb7,Sugar,Argentina,Noroeste,RETAIL,Kg
7b451449-e6d6-4136-88c0-b4f46322e6f0,Bread (French type),Argentina,Cuyo,RETAIL,Kg
81ae1b4f-9b31-4d51-9e24-d353fb1a6332,Pasta,Argentina,Noroeste,RETAIL,500 gms
85a67ad5-bee6-4c0c-969d-684c24fd351a,Eggs,Argentina,Noreste,RETAIL,Dozen
88d1fc49-5d32-49c3-a99f-1b0c1cb567e6,Beef meat,Argentina,Noroeste,RETAIL,Kg
932ab485-721a-4296-84fc-0e5b906d0ae2,Wheat (flour),Argentina,Noreste,RETAIL,Kg
9360ca8b-40e9-447c-9cf4-ae6baf79dda4,Bread (French type),Argentina,Pampeana,RETAIL,Kg
977c52ee-29f9-4305-a72b-ecff2c415bb7,Beef meat,Argentina,Patagonia,RETAIL,Kg
9a0ddb4a-fe64-4f1f-a01a-4f1c53a2c261,Pasta,Argentina,Cuyo,RETAIL,500 gms
9d667bd9-15d8-4e70-8aa0-b45bd46432fb,Eggs,Argentina,Pampeana,RETAIL,Dozen
a1e2490f-cc20-4cf5-8e42-f723818ddb4b,Sunflower oil,Argentina,Patagonia,RETAIL,1.5 Liter
a613301b-ffd0-45d5-be46-4c5aade4b853,Pasta,Argentina,Pampeana,RETAIL,500 gms
