date,price_usd,commodity_name,commodity_type,country,iso3,region,subregion,market,price_type,unit,unit_std,price_per_unit,price_source,gdp_ppp17,gdppc_ppp,gnipc_ppp,population,inflation,income_level
2012-07-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2012-08-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2012-09-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2012-10-01,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492.0,-6.601185641,
2012-11-01,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492.0,-6.601185641,
2012-12-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2013-01-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2013-02-01,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492.0,-6.601185641,
2013-03-01,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492.0,-6.601185641,
2013-04-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
2013-05-01,0.58,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.58,Domestic,,,,42647492.0,-6.601185641,
2013-06-01,0.58,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.58,Domestic,,,,42647492.0,-6.601185641,
2013-07-01,0.56,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.56,Domestic,,,,42647492.0,-6.601185641,
2013-08-01,0.57,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.57,Domestic,,,,42647492.0,-6.601185641,
2013-09-01,0.56,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.56,Domestic,,,,42647492.0,-6.601185641,
2013-10-01,0.56,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.56,Domestic,,,,42647492.0,-6.601185641,
